fid,VarZ,X,Y
"944",0,"691385","3376055"
"945",0,"691485","3376055"
"946",0,"691585","3376055"
"947",0,"691685","3376055"
"948",0,"691785","3376055"
"949",0,"691885","3376055"
"950",0,"691985","3376055"
"951",0,"692085","3376055"
"952",0,"692185","3376055"
"953",0,"692285","3376055"
"954",0,"692385","3376055"
"955",0,"692485","3376055"
"956",0,"692585","3376055"
"957",0,"692685","3376055"
"958",0,"692785","3376055"
"959",0,"692885","3376055"
"960",0,"692985","3376055"
"961",0,"693085","3376055"
"962",0,"693185","3376055"
"963",0,"693285","3376055"
"964",0,"693385","3376055"
"965",0,"693485","3376055"
"966",0,"693585","3376055"
"967",0,"693685","3376055"
"968",0,"693785","3376055"
"969",0,"693885","3376055"
"970",0,"693985","3376055"
"971",0,"694085","3376055"
"972",0,"694185","3376055"
"973",0,"694285","3376055"
"974",0,"694385","3376055"
"975",0,"694485","3376055"
"976",0,"675085","3375955"
"977",0,"675185","3375955"
"978",0,"675285","3375955"
"979",0,"675385","3375955"
"980",0,"675485","3375955"
"981",0,"675585","3375955"
"982",0,"675685","3375955"
"983",0,"675785","3375955"
"984",0,"675885","3375955"
"985",0,"675985","3375955"
"986",0,"676085","3375955"
"987",0,"676185","3375955"
"988",0,"676285","3375955"
"989",0,"676385","3375955"
"990",0,"676485","3375955"
"991",0,"676585","3375955"
"992",0,"676685","3375955"
"993",0,"676785","3375955"
